id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47155329,The Pleasance,48893328,Finlay-James,,Newington and Dalkeith Road,55.94187,-3.17652,Entire home/apt,78,3,19,2022-10-28,0.85,6,27,7,
48880551,Edlets Spacious Scotland Street,21906467,Alison,,Canonmills and New Town North,55.96086,-3.19445,Entire home/apt,650,2,0,,,37,360,0,
49238824,Great location 15min walk Princes St & Grassmarket,145101079,Armando,,Dalry and Fountainbridge,55.94211,-3.20898,Private room,66,1,141,2022-12-10,7.42,2,58,84,
48898027,Historic Old Town apartment near the Royal Mile,78634893,George,,"Old Town, Princes Street and Leith Street",55.94921,-3.18901,Entire home/apt,141,2,114,2022-12-04,5.57,2,295,73,
47272032,Townhouse in the centre of Edinburgh’s Old Town,6631837,Callum,,"Canongate, Southside and Dumbiedykes",55.95302,-3.17406,Entire home/apt,229,1,131,2022-12-04,5.77,1,269,92,
48912252,Private Apartment Edinburgh City Centre Townhouse,169458732,Emily,,New Town West,55.95762,-3.20375,Private room,79,2,68,2022-12-07,4.64,2,126,59,
49240512,Stunning duplex apartment in Edinburgh's Old Town,196752939,Daniel,,"Canongate, Southside and Dumbiedykes",55.947,-3.18305,Entire home/apt,110,3,72,2022-09-01,4.10,2,0,46,
48913423,"Modern, spacious, 4 bedrooms, Free parking!",57038487,Clare,,Colinton Mains and Firrhill,55.91216,-3.22229,Entire home/apt,99,3,38,2022-12-02,1.83,4,32,22,
48932062,Central Apartment In Edinburgh With Parking,253065951,Valentino,,Meadowbank and Abbeyhill North,55.95689,-3.16117,Entire home/apt,80,1,199,2022-12-14,9.61,6,150,104,
47303473,Suffolk Park Apartments,48893328,Finlay-James,,Newington and Dalkeith Road,55.93033,-3.16448,Entire home/apt,82,4,91,2022-12-12,3.89,6,1,54,
47400590,Meadowbank Apartments,48893328,Finlay-James,,Meadowbank and Abbeyhill North,55.956,-3.15662,Entire home/apt,91,4,72,2022-12-10,3.09,6,10,42,
47400843,St Margarets Loch Apartment,48893328,Finlay-James,,"Canongate, Southside and Dumbiedykes",55.95424,-3.15854,Entire home/apt,73,4,75,2022-12-04,3.33,6,67,43,
49256326,Spacious 3 bed/2 bath Edinburgh Flat with balcony,397370490,Calum,,Oxgangs,55.90822,-3.22286,Entire home/apt,119,2,11,2022-12-11,2.52,1,76,11,
47484960,Stunning sea views with easy access to city centre,111627070,Jacqui,,Portobello,55.95731,-3.11984,Entire home/apt,121,2,64,2022-12-11,4.37,1,210,61,
47489070,*NEW* Traditional Scottish Apartment in Heart Stockbridge,11362736,Sonia,,Stockbridge,55.96083,-3.20861,Entire home/apt,134,1,52,2022-11-28,2.63,16,319,28,
47545234,Ellswood Bothy,324222764,Jonathan,,Currie West,55.90785,-3.33219,Entire home/apt,120,3,46,2022-11-11,2.10,1,166,13,
48948726,"Brunton Gardens, Montgomery Street",215830120,We Manage Assets,,Hillside and Calton Hill,55.95804,-3.17531,Entire home/apt,339,2,15,2022-07-27,0.94,1,38,6,
48967858,Stylish duplex with private parking in city centre,3347799,Katie,,"Old Town, Princes Street and Leith Street",55.95037,-3.20509,Entire home/apt,256,2,85,2022-11-23,4.45,24,67,44,
48984544,Bright spacious 5 bed flat with amazing views,18236424,Peter,,Pilrig,55.96534,-3.18196,Entire home/apt,150,4,6,2022-07-31,0.86,1,0,6,
48989944,Charming 3 Bed Apartment in The Old Town,344268039,Rentir,,"Old Town, Princes Street and Leith Street",55.94871,-3.18272,Entire home/apt,275,2,10,2022-11-01,2.19,36,149,10,
47591417,Large Apartment Close to Heriot Watt University,29624831,Lorna,,Parkhead and Sighthill,55.92018,-3.28592,Entire home/apt,135,28,0,,,16,0,0,
49256750,"Water front 1 bed flat, the Shore (Secure Parking)",11064421,Marcelle,,North Leith and Newhaven,55.9763,-3.17632,Entire home/apt,42,6,1,2021-06-18,0.05,1,0,0,
47719207,Kingsize double Bedroom in a spacious flat.,132857141,Ricky,,Deans Village,55.95326,-3.21482,Private room,39,1,40,2022-04-13,1.86,1,0,4,
48996945,Spacious double room in the heart of Edinburgh,8117377,Sam,,Merchiston and Greenhill,55.93387,-3.20903,Private room,71,1,105,2022-12-15,5.24,1,92,74,
49005912,Britannia Penthouse,142182685,MYB Apartments,,North Leith and Newhaven,55.97787,-3.1813,Entire home/apt,271,2,14,2022-11-07,0.74,6,237,6,
47725604,Three Bedroom Park Avenue Penthouse,12662921,Quartermile,,Meadows and Southside,55.94426,-3.19225,Entire home/apt,1315,3,12,2022-12-01,0.60,7,342,10,
49018608,Perfect base for exploring Edinburgh,327252791,Katharine,,Balgreen and Roseburn,55.94246,-3.25278,Entire home/apt,90,3,16,2022-11-28,1.53,1,95,16,
47725605,One Bedroom Deluxe,12662921,Quartermile,,Meadows and Southside,55.94292,-3.19095,Entire home/apt,218,2,9,2022-11-21,0.59,7,359,8,
49264658,Private double room / en-suite in cosy townhouse,56243310,Alessandro,,Gilmerton South and the Murrays,55.89993,-3.13073,Private room,53,2,187,2022-12-11,9.44,1,162,105,
